Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
265,Furkan Korkmaz\korkmfu01,SG,20,PHI,6,0,5.3,0.5,2.0,.250,0.2,1.3,.125,0.3,0.7,.500,.292,0.3,0.3,1.000,0.3,0.7,1.0,0.3,0.2,0.0,0.2,0.7,1.5
266,Luke Kornet\kornelu01,PF,22,NYK,8,1,11.9,1.6,5.3,.310,0.9,3.3,.269,0.8,2.0,.375,.393,0.1,0.3,.500,1.0,1.6,2.6,0.6,0.3,0.9,0.3,0.5,4.3
267,Kyle Korver\korveky01,SG,36,CLE,66,0,21.4,3.0,6.7,.449,2.3,5.2,.433,0.7,1.4,.505,.618,0.8,0.9,.883,0.1,2.0,2.2,1.2,0.4,0.4,0.7,1.7,9.0
268,Kosta Koufos\koufoko01,C,28,SAC,63,13,19.3,3.0,5.4,.565,0.0,0.0,,3.0,5.4,.565,.565,0.5,1.0,.455,2.1,4.5,6.6,1.2,0.6,0.4,0.7,2.0,6.6
269,Kyle Kuzma\kuzmaky01,PF,22,LAL,65,26,30.0,5.8,13.0,.445,1.9,5.3,.365,3.9,7.7,.500,.519,1.8,2.5,.701,1.2,4.8,6.0,1.8,0.6,0.5,1.7,2.1,15.3
270,Mindaugas Kuzminskas\kuzmimi01,SF,28,NYK,1,0,2.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,Skal Labissiere\labissk01,PF,21,SAC,51,21,19.7,3.4,7.2,.466,0.2,0.6,.355,3.1,6.6,.476,.481,1.6,2.0,.777,1.6,3.0,4.6,1.0,0.4,0.8,1.1,2.1,8.5
272,Jeremy Lamb\lambje01,SG,25,CHO,66,14,24.5,4.8,10.7,.452,1.2,3.2,.360,3.7,7.5,.492,.506,2.3,2.7,.861,0.6,3.4,4.0,2.3,0.8,0.4,1.2,1.8,13.2
273,Shane Larkin\larkish01,PG,25,BOS,42,1,11.5,1.2,3.2,.385,0.5,1.3,.364,0.8,1.9,.400,.459,0.5,0.6,.875,0.1,1.1,1.2,1.2,0.4,0.0,0.5,1.0,3.5
274,Joffrey Lauvergne\lauvejo01,C,26,SAS,46,1,10.6,2.0,3.7,.526,0.0,0.1,.000,2.0,3.6,.542,.526,0.6,0.9,.651,1.3,2.2,3.4,0.8,0.2,0.1,0.7,1.0,4.5
275,Zach LaVine\lavinza01,SG,22,CHI,22,22,27.5,5.9,15.0,.391,1.8,5.0,.351,4.1,10.0,.411,.450,3.4,4.3,.787,0.3,3.5,3.8,3.0,1.0,0.1,1.7,2.2,16.9
276,Jake Layman\laymaja01,SF,23,POR,30,1,5.0,0.4,1.5,.273,0.1,0.6,.211,0.3,0.8,.320,.318,0.1,0.1,.667,0.1,0.3,0.5,0.3,0.2,0.1,0.1,0.4,1.0
277,T.J. Leaf\leaftj01,PF,20,IND,48,0,8.7,1.1,2.4,.462,0.4,0.8,.447,0.8,1.6,.468,.534,0.2,0.3,.667,0.5,1.0,1.5,0.2,0.1,0.1,0.2,0.9,2.8
278,Courtney Lee\leeco01,SG,32,NYK,65,63,31.3,4.7,10.3,.451,1.6,3.8,.411,3.1,6.5,.474,.527,1.7,1.8,.923,0.4,2.7,3.1,2.6,1.1,0.2,1.2,1.5,12.6
